id,interest_area,major,short_description,career_paths,prerequisites
355,Management,Business Administration,"Business Administration with a focus on Management involves the study of organizing, planning, and overseeing business operations to efficiently achieve organizational goals. This major equips students with leadership skills and a thorough understanding of various managerial functions.","Business Consultant, Human Resources Manager, Operations Manager, Marketing Manager, Financial Analyst, Entrepreneur, Project Manager, Sales Manager","{""IB"":[""IB Business Management HL"",""IB Mathematics SL"",""IB Economics HL""],""A-Levels"":[""A-Level Business Studies"",""A-Level Mathematics"",""A-Level Economics""],""AP"":[""AP Microeconomics"",""AP Macroeconomics"",""AP Calculus AB"",""AP Statistics""],""MYP"":[""MYP Individuals and Societies"",""MYP Mathematics""],""GCSE"":[""GCSE Business Studies"",""GCSE Mathematics"",""GCSE Economics""],""CBSE"":[""CBSE Business Studies"",""CBSE Economics"",""CBSE Mathematics""]}"
356,Management,Human Resource Management,"Human Resource Management focuses on the strategic and operational roles of managing people and workplace culture in organizations. It equips students with the skills needed to recruit, manage, and enhance the performance of employees in various types of organizations.","HR Manager, Recruitment Coordinator, Training and Development Officer, Employee Relations Manager, Compensation and Benefits Specialist, Talent Acquisition Specialist, HR Consultant, Labor Relations Specialist","{""IB"":[""IB Business Management HL"",""IB Psychology SL"",""IB Economics HL""],""A-Levels"":[""A-Level Business Studies"",""A-Level Psychology"",""A-Level Economics""],""AP"":[""AP Psychology"",""AP Statistics"",""AP Microeconomics""],""MYP"":[""MYP Individuals and Societies"",""MYP Mathematics""],""GCSE"":[""GCSE Business Studies"",""GCSE Mathematics"",""GCSE Psychology""],""CBSE"":[""CBSE Business Studies"",""CBSE Economics"",""CBSE Psychology""]}"
357,Management,International Business,"International Business is a major that focuses on teaching students how to manage businesses in a global context, dealing with the complexities of cross-border and multicultural environments. It combines elements of economics, finance, cultural studies, and management to prepare students for the challenges of international markets.","Global Marketing Manager, International Trade Compliance Officer, Management Analyst, Supply Chain Manager, Business Development Manager, International Financial Analyst, Import/Export Agent, Economic Development Director","{""IB"":[""IB Business Management HL"",""IB Economics HL"",""IB Mathematics SL or HL"",""IB Language B HL""],""A-Levels"":[""A-Level Business Studies"",""A-Level Economics"",""A-Level Mathematics"",""A-Level Modern Foreign Languages""],""AP"":[""AP Microeconomics"",""AP Macroeconomics"",""AP Calculus AB"",""AP Statistics"",""AP Spanish Language and Culture"",""AP French Language and Culture""],""MYP"":[""MYP Individuals and Societies"",""MYP Mathematics"",""MYP Language Acquisition"",""MYP Design""],""GCSE"":[""GCSE Business Studies"",""GCSE Mathematics"",""GCSE Economics"",""GCSE Modern Foreign Languages""],""CBSE"":[""CBSE Business Studies"",""CBSE Economics"",""CBSE Mathematics"",""CBSE Entrepreneurship"",""CBSE Accountancy""]}"
358,Management,Operations Management,"Operations Management is a college major focused on the efficient and effective development and management of a company's resources to maximize its output. The curriculum typically covers areas such as supply chain management, logistics, quality control, and process optimization.","Operations Manager, Supply Chain Analyst, Quality Assurance Manager, Logistics Coordinator, Production Planner, Inventory Manager, Process Improvement Consultant","{""IB"":[""IB Mathematics HL"",""IB Business Management HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Business Studies""],""AP"":[""AP Calculus AB"",""AP Statistics"",""AP Microeconomics""],""MYP"":[""MYP Mathematics"",""MYP Design""],""GCSE"":[""GCSE Mathematics"",""GCSE Business Studies""],""CBSE"":[""CBSE Mathematics"",""CBSE Business Studies""]}"
359,Management,Supply Chain Management,"Supply Chain Management is a major that focuses on the efficient management of supply chain processes including procurement, logistics, and distribution to optimize a company's operational efficiency. It integrates aspects of business, systems analysis, and strategic planning to ensure products and services are delivered effectively and efficiently.","Logistics Manager, Supply Chain Analyst, Procurement Manager, Operations Manager, Inventory Control Specialist, Distribution Center Manager, Supply Chain Consultant, Purchasing Manager","{""IB"":[""IB Business Management HL"",""IB Economics HL"",""IB Mathematics SL"",""IB Information Technology in a Global Society SL""],""A-Levels"":[""A-Level Business Studies"",""A-Level Economics"",""A-Level Mathematics"",""A-Level Geography""],""AP"":[""AP Microeconomics"",""AP Macroeconomics"",""AP Statistics"",""AP Calculus AB"",""AP Computer Science A""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Business Management""],""GCSE"":[""GCSE Business Studies"",""GCSE Mathematics"",""GCSE Economics""],""CBSE"":[""CBSE Business Studies"",""CBSE Economics"",""CBSE Mathematics"",""CBSE Informatics Practices""]}"
360,Management,Project Management,"Project Management is a college major focused on the skills and knowledge necessary to plan, execute, and oversee projects to meet specific objectives within a given timeframe. Students learn various methodologies, tools, and soft skills such as leadership, communication, and problem-solving, which are essential in managing projects across any industry.","Project Coordinator, Project Manager, Operations Manager, Quality Assurance Analyst, Supply Chain Analyst, Construction Manager, IT Project Manager, Consultant","{""IB"":[""IB Business Management HL"",""IB Mathematics SL"",""IB Economics HL"",""IB Computer Science SL""],""A-Levels"":[""A-Level Business Studies"",""A-Level Mathematics"",""A-Level Economics"",""A-Level Information Technology""],""AP"":[""AP Calculus AB"",""AP Statistics"",""AP Computer Science A"",""AP Microeconomics""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Individuals and Societies""],""GCSE"":[""GCSE Business Studies"",""GCSE Mathematics"",""GCSE Economics"",""GCSE Information and Communication Technology""],""CBSE"":[""CBSE Business Studies"",""CBSE Mathematics"",""CBSE Economics"",""CBSE Informatics Practices""]}"
361,Management,Retail Management,"Retail Management is a specialized major focusing on the oversight and operation of retail businesses, incorporating principles of business administration, marketing, and consumer behavior. This major equips students with the skills needed to manage retail operations, develop marketing strategies, and enhance customer service.","Retail Manager, Store Manager, Merchandise Planner, Buyer, Visual Merchandiser, Supply Chain Analyst, Sales Manager, E-commerce Manager","{""IB"":[""IB Business Management HL"",""IB Economics HL"",""IB Mathematics SL""],""A-Levels"":[""A-Level Business Studies"",""A-Level Mathematics"",""A-Level Economics""],""AP"":[""AP Microeconomics"",""AP Macroeconomics"",""AP Calculus AB"",""AP Statistics""],""MYP"":[""MYP Business Management"",""MYP Mathematics""],""GCSE"":[""GCSE Business Studies"",""GCSE Mathematics""],""CBSE"":[""CBSE Business Studies"",""CBSE Economics"",""CBSE Mathematics""]}"
362,Management,Logistics Management,"Logistics Management is a specialized area of study focused on the efficient and effective management of the supply chain processes, including the acquisition, storage, and transportation of goods. This major prepares students to oversee and optimize operations critical to the distribution and delivery of products.","Supply Chain Analyst, Logistics Manager, Operations Manager, Procurement Manager, Inventory Control Specialist, Distribution Center Manager, Transportation Coordinator, Supply Chain Consultant","{""IB"":[""IB Business Management HL"",""IB Mathematics SL"",""IB Economics HL""],""A-Levels"":[""A-Level Business Studies"",""A-Level Mathematics"",""A-Level Economics""],""AP"":[""AP Calculus AB"",""AP Statistics"",""AP Microeconomics"",""AP Macroeconomics""],""MYP"":[""MYP Design"",""MYP Mathematics""],""GCSE"":[""GCSE Business Studies"",""GCSE Mathematics""],""CBSE"":[""CBSE Business Studies"",""CBSE Mathematics"",""CBSE Economics""]}"
363,Management,Organizational Leadership,"Organizational Leadership is a major focused on developing skills necessary to lead, manage, and inspire teams in a variety of organizational settings. It combines elements of psychology, management, and communication to equip students with the strategic insights needed to guide companies and institutions effectively.","Human Resources Manager, Corporate Trainer, Management Consultant, Nonprofit Director, Organizational Development Specialist, Project Manager, Entrepreneur, Operations Manager","{""IB"":[""IB Business Management HL"",""IB Psychology SL"",""IB Economics HL"",""IB Mathematics SL""],""A-Levels"":[""A-Level Business Studies"",""A-Level Psychology"",""A-Level Economics"",""A-Level Mathematics""],""AP"":[""AP Psychology"",""AP Statistics"",""AP Microeconomics"",""AP Macroeconomics""],""MYP"":[""MYP Individuals and Societies"",""MYP Design"",""MYP Mathematics""],""GCSE"":[""GCSE Business Studies"",""GCSE Mathematics"",""GCSE Psychology""],""CBSE"":[""CBSE Business Studies"",""CBSE Economics"",""CBSE Mathematics"",""CBSE Psychology""]}"
364,Management,Public Administration,"Public Administration is a field of study that focuses on the implementation of government policy, management of public programs, and the preparation of individuals for public service. It combines elements of organizational management, policy analysis, and public affairs to equip graduates with the skills necessary to serve in various governmental and non-governmental roles.","City Manager, Policy Analyst, Public Affairs Consultant, Human Resources Manager, Nonprofit Organization Director, Government Relations Officer, Urban Planner, Health Services Administrator","{""IB"":[""IB History HL"",""IB Economics HL"",""IB Business Management HL"",""IB Social and Cultural Anthropology HL""],""A-Levels"":[""A-Level Politics"",""A-Level Business Studies"",""A-Level Economics"",""A-Level Sociology""],""AP"":[""AP U.S. Government and Politics"",""AP Comparative Government and Politics"",""AP Human Geography"",""AP Macroeconomics"",""AP Microeconomics""],""MYP"":[""MYP Individuals and Societies"",""MYP Integrated Humanities"",""MYP Design""],""GCSE"":[""GCSE Business Studies"",""GCSE History"",""GCSE Sociology"",""GCSE Economics""],""CBSE"":[""CBSE Political Science"",""CBSE Economics"",""CBSE Business Studies"",""CBSE Accountancy""]}"
